id,Kode,name,AHH_2010,AHH_2011,AHH_2012,AHH_2013,AHH_2014,AHH_2015,AHH_2016,EYS_2010,EYS_2011,EYS_2012,EYS_2013,EYS_2014,EYS_2015,EYS_2016,MYS_2010,MYS_2011,MYS_2012,MYS_2013,MYS_2014,MYS_2015,MYS_2016,PENG_2010,PENG_2011,PENG_2012,PENG_2013,PENG_2014,PENG_2015,PENG_2016,IPM_2010,IPM_2011,IPM_2012,IPM_2013,IPM_2014,IPM_2015,IPM_2016
11,1100,"Aceh",69.08,69.15,69.23,69.31,69.35,69.5,69.51,12.9,13.03,13.19,13.36,13.53,13.73,13.89,8.28,8.32,8.36,8.44,8.71,8.77,8.86,7933.73,8043.67,8134.01,8288.79,8297.48,8533.05,8768,67.09,67.45,67.81,68.3,68.81,69.45,70
12,1200,"Sumatera Utara",67.46,67.63,67.81,67.94,68.04,68.29,68.33,11.82,11.83,11.97,12.41,12.61,12.82,13,8.51,8.61,8.72,8.79,8.93,9.03,9.12,9195.67,9230.75,9265.83,9308.76,9391,9563.19,9744,67.09,67.34,67.74,68.36,68.87,69.51,70
13,1300,"Sumatera Barat",67.59,67.79,68,68.21,68.32,68.66,68.73,12.22,12.52,12.81,13.16,13.48,13.6,13.79,8.13,8.2,8.27,8.28,8.29,8.42,8.59,9339.12,9408.74,9478.88,9569.54,9620.73,9803.74,10126,67.25,67.81,68.36,68.91,69.36,69.98,70.73
14,1400,"Riau",70.15,70.32,70.49,70.67,70.76,70.93,70.97,11.76,11.78,11.79,12.27,12.45,12.74,12.86,8.25,8.29,8.34,8.38,8.47,8.49,8.59,9857.36,9957.09,10057.84,10179.6,10262.4,10364.39,10465,68.65,68.9,69.15,69.91,70.33,70.84,71.2
15,1500,"Jambi",69.89,70.04,70.19,70.35,70.43,70.56,70.71,11.34,11.6,11.73,12.17,12.38,12.57,12.72,7.34,7.48,7.69,7.8,7.92,7.96,8.07,8478.45,8664.05,8943.55,9066.27,9141.15,9446.18,9795,65.39,66.14,66.94,67.76,68.24,68.89,69.62
16,1600,"Sumatera Selatan",68.34,68.51,68.67,68.84,68.93,69.14,69.16,11.03,11.21,11.42,11.46,11.75,12.02,12.23,7.34,7.42,7.5,7.53,7.66,7.77,7.83,8536.2,8803.25,9040.35,9230.82,9302.02,9474.21,9935,64.44,65.12,65.79,66.16,66.75,67.46,68.24
17,1700,"Bengkulu",67.82,67.98,68.16,68.33,68.37,68.5,68.56,11.59,11.88,12.2,12.78,13.01,13.18,13.38,7.85,7.93,8.01,8.09,8.28,8.29,8.37,8458.71,8571.97,8681.82,8803.21,8864.12,9122.88,9492,65.35,65.96,66.61,67.5,68.06,68.59,69.33
18,1800,"Lampung",68.91,69.12,69.33,69.55,69.66,69.9,69.94,10.88,11.04,11.37,11.9,12.24,12.25,12.35,7.26,7.28,7.3,7.32,7.48,7.56,7.63,7963.76,8118.29,8273.12,8415.11,8476.24,8729.32,9156,63.71,64.2,64.87,65.73,66.42,66.95,67.65
19,1900,"Bangka-Belitung",69.15,69.31,69.48,69.64,69.72,69.88,69.92,10.48,10.7,10.79,10.96,11.18,11.6,11.71,7.07,7.19,7.25,7.32,7.35,7.46,7.62,10706.79,10807.99,11218.08,11656.54,11690.57,11780.86,11960,66.02,66.59,67.21,67.92,68.27,69.05,69.55
21,2100,"Kepulauan Riau",68.42,68.63,68.85,69.05,69.15,69.41,69.45,11.51,11.61,11.9,12.26,12.51,12.6,12.66,9.38,9.46,9.58,9.63,9.64,9.65,9.67,12266.62,12512.97,12739.91,12942.28,13018.53,13176.79,13359,71.13,71.61,72.36,73.02,73.4,73.75,73.99
31,3100,"DKI Jakarta",71.71,71.87,72.03,72.19,72.27,72.43,72.49,11.86,11.91,11.96,12.24,12.38,12.59,12.73,10.37,10.4,10.43,10.47,10.54,10.7,10.88,15110.77,15943.43,16612.86,16827.58,16897.51,17075.43,17468,76.31,76.98,77.53,78.08,78.39,78.99,79.6
32,3200,"Jawa Barat",71.29,71.56,71.82,72.09,72.23,72.41,72.44,10.69,10.91,11.24,11.81,12.08,12.15,12.3,7.4,7.46,7.52,7.58,7.71,7.86,7.95,9173.8,9249.02,9324.85,9421.3,9447.16,9777.61,10035,66.15,66.67,67.32,68.25,68.8,69.5,70.05
33,3300,"Jawa Tengah",72.73,72.91,73.09,73.28,73.88,73.96,74.02,11.09,11.18,11.39,11.89,12.17,12.38,12.45,6.71,6.74,6.77,6.8,6.93,7.03,7.15,8991.96,9296.37,9497.15,9617.92,9639.74,9929.71,10153,66.08,66.64,67.21,68.02,68.78,69.49,69.98
34,3400,"D I Y",74.17,74.26,74.36,74.45,74.5,74.68,74.71,14.15,14.61,14.64,14.67,14.85,15.03,15.23,8.51,8.53,8.63,8.72,8.84,9,9.12,12080.21,12114.52,12136.69,12260.52,12294.43,12684.24,13229,75.37,75.93,76.15,76.44,76.81,77.59,78.38
35,3500,"Jawa Timur",69.89,70.02,70.14,70.34,70.45,70.68,70.74,11.49,11.62,11.74,12.17,12.45,12.66,12.98,6.73,6.79,6.85,6.9,7.05,7.14,7.23,9002.02,9396.2,9797.47,9978,10012.16,10383.37,10715,65.36,66.06,66.74,67.55,68.14,68.95,69.74
36,3600,"Banten",68.5,68.68,68.86,69.04,69.13,69.43,69.46,11.02,11.41,11.79,12.05,12.31,12.35,12.7,7.92,7.95,8.06,8.17,8.19,8.27,8.37,10776.83,10932.84,11008.33,11061.34,11150,11261.48,11469,67.54,68.22,68.92,69.47,69.89,70.27,70.96
51,5100,"Bali",70.61,70.78,70.94,71.11,71.2,71.35,71.41,11.71,12.12,12.26,12.4,12.64,12.97,13.04,7.74,7.77,8.05,8.1,8.11,8.26,8.36,12073.51,12306.77,12529.78,12738.09,12830.51,13078.34,13279,70.1,70.87,71.62,72.09,72.48,73.27,73.65
52,5200,"Nusa Tenggara Barat",63.82,64.13,64.43,64.74,64.9,65.38,65.48,11.66,11.97,12.21,12.46,12.73,13.04,13.16,5.73,6.07,6.33,6.54,6.67,6.71,6.79,8707.04,8758.76,8852.59,8950.27,8986.96,9241.31,9575,61.16,62.14,62.98,63.76,64.31,65.19,65.81
53,5300,"Nusa Tenggara Timur",65.28,65.45,65.64,65.82,65.91,65.96,66.04,10.85,11.55,11.73,12.27,12.65,12.84,12.97,6.5,6.6,6.71,6.76,6.85,6.93,7.02,6615.07,6677.62,6784.75,6899.41,6933.54,7003.35,7122,59.21,60.24,60.81,61.68,62.26,62.67,63.13
61,6100,"Kalimantan Barat",69.06,69.26,69.46,69.66,69.76,69.87,69.9,10.79,10.8,11.11,11.6,11.89,12.25,12.37,6.27,6.32,6.62,6.69,6.83,6.93,6.98,7654.5,7825.22,8001.86,8127.01,8174.98,8279.34,8348,61.97,62.35,63.41,64.3,64.89,65.59,65.88
62,6200,"Kalimantan Tengah",68.98,69.09,69.18,69.29,69.39,69.54,69.57,11.09,11.15,11.22,11.71,11.93,12.22,12.33,7.62,7.68,7.73,7.79,7.82,8.03,8.13,9257.46,9471.94,9556.6,9641.41,9681.87,9809.46,10155,65.96,66.38,66.66,67.41,67.77,68.53,69.13
63,6300,"Kalimantan Selatan",66.65,66.88,67.11,67.35,67.47,67.8,67.92,10.86,11.14,11.54,11.67,11.96,12.21,12.29,7.25,7.37,7.48,7.59,7.6,7.76,7.89,10304.14,10436.8,10552.89,10654.96,10747.57,10890.97,11307,65.2,65.89,66.68,67.17,67.63,68.38,69.05
64,6400,"Kalimantan Timur",72.89,73.1,73.32,73.52,73.62,73.65,73.68,11.87,12.06,12.46,12.85,13.17,13.18,13.35,8.56,8.79,8.83,8.87,9.04,9.15,9.24,10789.84,10926.8,10943.96,10981.13,11018.83,11228.81,11355,71.31,72.02,72.62,73.21,73.82,74.17,74.59
65,6500,"Kalimantan Utara",71.39,71.6,71.82,72.02,72.12,72.16,72.43,,,,12.3,12.52,12.54,12.59,,,,8.1,8.35,8.36,8.49,,,,8228.55,8288.86,8353.97,8434,,,,67.99,68.64,68.76,69.2
71,7100,"Sulawesi Utara",70.4,70.55,70.7,70.86,70.94,70.99,71.02,11.34,11.5,11.77,11.88,12.16,12.43,12.55,8.66,8.68,8.71,8.79,8.86,8.88,8.96,8934.98,9113,9430.04,9582.67,9627.82,9729.11,10148,67.83,68.31,69.04,69.49,69.96,70.39,71.05
72,7200,"Sulawesi Tengah",66.07,66.39,66.7,67.02,67.18,67.26,67.31,11.17,11.82,12.09,12.36,12.71,12.72,12.92,7.65,7.69,7.73,7.82,7.89,7.97,8.12,7987.73,8077.37,8286.07,8500.57,8601.52,8767.73,9034,63.29,64.27,65,65.79,66.43,66.76,67.47
73,7300,"Sulawesi Selatan",68.93,69.12,69.31,69.5,69.6,69.8,69.82,11.47,11.82,12.16,12.52,12.9,12.99,13.16,7.29,7.33,7.37,7.45,7.49,7.64,7.75,9330.62,9459.45,9559.61,9632.41,9722.7,9991.72,10281,66,66.65,67.26,67.92,68.49,69.15,69.76
74,7400,"Sulawesi Tenggara",69.65,69.85,70.06,70.28,70.39,70.44,70.46,12.15,12.3,12.45,12.45,12.78,13.07,13.24,7.57,7.67,7.76,7.93,8.02,8.18,8.32,8125.89,8248.76,8395.91,8537.28,8555.13,8697.4,8871,65.99,66.52,67.07,67.55,68.07,68.75,69.31
75,7500,"Gorontalo",66.41,66.59,66.76,66.92,67,67.12,67.13,11.12,11.68,11.78,12.13,12.49,12.7,12.88,6.85,6.89,6.92,6.96,6.97,7.05,7.12,8206.69,8293.17,8672.77,8718.72,8762.26,9035.12,9175,62.65,63.48,64.16,64.7,65.17,65.86,66.29
76,7600,"Sulawesi Barat",62.5,62.78,63.04,63.32,64.04,64.22,64.31,10.58,11.21,11.28,11.46,11.78,12.22,12.34,6.63,6.65,6.76,6.87,6.88,6.94,7.14,8003.09,8048.59,8091.24,8147.85,8169.87,8259.98,8450,59.74,60.63,61.01,61.53,62.24,62.96,63.6
81,8100,"Maluku",64.46,64.61,64.77,64.93,65.01,65.31,65.35,12.62,12.85,12.96,13.35,13.53,13.56,13.73,8.64,8.72,8.8,8.81,9.15,9.16,9.27,7361.81,7437.41,7726.67,7872.45,7925.16,8025.6,8215,64.27,64.75,65.43,66.09,66.74,67.05,67.6
82,8200,"Maluku Utara",66.7,66.87,67.05,67.24,67.34,67.44,67.51,11.74,11.79,12.19,12.48,12.72,13.1,13.45,7.91,7.98,8.04,8.27,8.34,8.37,8.52,6812.83,6935.34,7059.4,7199.8,7233.82,7423.3,7545,62.79,63.19,63.93,64.78,65.18,65.91,66.63
91,9100,"Papua Barat",64.59,64.75,64.88,65.05,65.14,65.19,65.3,11.1,11.21,11.45,11.67,11.87,12.06,12.26,6.77,6.82,6.87,6.91,6.96,7.01,7.06,6676.79,6708.93,6732.03,6896.19,6943.98,7063.88,7175,59.6,59.9,60.3,60.91,61.28,61.73,62.21
94,9400,"Papua",64.31,64.46,64.6,64.76,64.84,65.09,65.12,8.57,8.92,9.11,9.58,9.94,9.95,10.23,5.59,5.6,5.73,5.74,5.76,5.99,6.15,6250.52,6303.4,6348.87,6394.3,6416.1,6468.55,6637,54.45,55.01,55.55,56.25,56.75,57.25,58.05
